longitude,latitude,precipitation
-76.29840865669156,-10.06562275855924,1404.702523723654
-76.28942550385037,-10.06562275855924,1404.702523723654
-76.28044235100917,-10.06562275855924,1404.702523723654
-76.27145919816797,-10.06562275855924,1404.702523723654
-76.29840865669156,-10.074605911400434,1404.702523723654
-76.28942550385037,-10.074605911400434,1404.702523723654
-76.28044235100917,-10.074605911400434,1404.702523723654
-76.27145919816797,-10.074605911400434,1404.702523723654
-76.29840865669156,-10.083589064241629,1404.702523723654
-76.28942550385037,-10.083589064241629,1404.702523723654
-76.28044235100917,-10.083589064241629,1404.702523723654
-76.27145919816797,-10.083589064241629,1404.702523723654
-76.29840865669156,-10.092572217082825,1404.702523723654
-76.28942550385037,-10.092572217082825,1404.702523723654
-76.28044235100917,-10.092572217082825,1404.702523723654
-76.27145919816797,-10.092572217082825,1404.702523723654
-76.29840865669156,-10.10155536992402,1359.7036070359277
-76.28942550385037,-10.10155536992402,1359.7036070359277
-76.28044235100917,-10.10155536992402,1359.7036070359277
-76.27145919816797,-10.10155536992402,1359.7036070359277
